1,9,キーダウン,7539708827701422
1,9,キーアップ,7539708828864278
1,6,キーダウン,7539708834194714
1,6,キーアップ,7539708835868201
1,0,キーダウン,7539708841768127
1,0,キーアップ,7539708843124979
1,1,キーダウン,7539708846699513
1,1,キーアップ,7539708848435583
1,4,キーダウン,7539708852843354
1,4,キーアップ,7539708854448344
1,8,キーダウン,7539708863222284
1,8,キーアップ,7539708864475018
2,9,キーダウン,7539708876183755
2,9,キーアップ,7539708877501832
2,6,キーダウン,7539708880551571
2,6,キーアップ,7539708882194294
2,0,キーダウン,7539708885649301
2,0,キーアップ,7539708887223225
2,1,キーダウン,7539708890487638
2,1,キーアップ,7539708891729056
2,4,キーダウン,7539708895179367
2,4,キーアップ,7539708896268490
2,8,キーダウン,7539708899417762
2,8,キーアップ,7539708900508906
3,9,キーダウン,7539708926562604
3,9,キーアップ,7539708928050669
3,6,キーダウン,7539708933012323
3,6,キーアップ,7539708934217109
3,0,キーダウン,7539708942845594
3,0,キーアップ,7539708944427644
3,1,キーダウン,7539708947344933
3,1,キーアップ,7539708948892796
3,4,キーダウン,7539708951627126
3,4,キーアップ,7539708952726790
3,8,キーダウン,7539708955104642
3,8,キーアップ,7539708956251654
4,9,キーダウン,7539708967592249
4,9,キーアップ,7539708968841903
4,6,キーダウン,7539708972915164
4,6,キーアップ,7539708974071944
4,0,キーダウン,7539708976678115
4,0,キーアップ,7539708977891817
4,1,キーダウン,7539708981125014
4,1,キーアップ,7539708982327522
4,4,キーダウン,7539708987496978
4,4,キーアップ,7539708988807086
4,8,キーダウン,7539708991434242
4,8,キーアップ,7539708992528889
5,9,キーダウン,7539709003404994
5,9,キーアップ,7539709004713422
5,6,キーダウン,7539709008719466
5,6,キーアップ,7539709009973773
5,0,キーダウン,7539709013648957
5,0,キーアップ,7539709015251011
5,1,キーダウン,7539709018172213
5,1,キーアップ,7539709019701741
5,4,キーダウン,7539709022500569
5,4,キーアップ,7539709023755426
5,8,キーダウン,7539709025688412
5,8,キーアップ,7539709026748740
6,9,キーダウン,7539709034353665
6,9,キーアップ,7539709035556623
6,6,キーダウン,7539709037918272
6,6,キーアップ,7539709039164400
6,0,キーダウン,7539709040968573
6,0,キーアップ,7539709042236078
6,1,キーダウン,7539709044249957
6,1,キーアップ,7539709045667195
6,4,キーダウン,7539709047614707
6,4,キーアップ,7539709048751963
6,8,キーダウン,7539709051039889
6,8,キーアップ,7539709052018809
7,9,キーダウン,7539709061326574
7,9,キーアップ,7539709062384612
7,6,キーダウン,7539709066211013
7,6,キーアップ,7539709067472302
7,0,キーダウン,7539709069419156
7,0,キーアップ,7539709070526617
7,1,キーダウン,7539709072070966
7,1,キーアップ,7539709073214485
7,4,キーダウン,7539709076304564
7,4,キーアップ,7539709077394444
7,8,キーダウン,7539709079792658
7,8,キーアップ,7539709080713132
8,9,キーダウン,7539709091477103
8,9,キーアップ,7539709092585846
8,6,キーダウン,7539709094999547
8,6,キーアップ,7539709096142434
8,0,キーダウン,7539709097680711
8,0,キーアップ,7539709098776686
8,1,キーダウン,7539709100570381
8,1,キーアップ,7539709101952860
8,4,キーダウン,7539709103859788
8,4,キーアップ,7539709105111299
8,8,キーダウン,7539709106916475
8,8,キーアップ,7539709108000954
9,9,キーダウン,7539709121292486
9,9,キーアップ,7539709122335967
9,6,キーダウン,7539709125538468
9,6,キーアップ,7539709126737694
9,0,キーダウン,7539709129267943
9,0,キーアップ,7539709130546421
9,1,キーダウン,7539709133078855
9,1,キーアップ,7539709134496118
9,4,キーダウン,7539709139538510
9,4,キーアップ,7539709140738808
9,8,キーダウン,7539709144736436
9,8,キーアップ,7539709145861964
10,9,キーダウン,7539709154209420
10,9,キーアップ,7539709155411415
10,6,キーダウン,7539709159130734
10,6,キーアップ,7539709160255902
10,0,キーダウン,7539709163183859
10,0,キーアップ,7539709164709837
10,1,キーダウン,7539709166908181
10,1,キーアップ,7539709168609033
10,4,キーダウン,7539709178161152
10,4,キーアップ,7539709179416590
10,8,キーダウン,7539709190415937
10,8,キーアップ,7539709191669914
11,9,キーダウン,7539709201368058
11,9,キーアップ,7539709202537297
11,6,キーダウン,7539709204777429
11,6,キーアップ,7539709205816582
11,0,キーダウン,7539709207796923
11,0,キーアップ,7539709208881617
11,1,キーダウン,7539709210232065
11,1,キーアップ,7539709211431136
11,4,キーダウン,7539709213378417
11,4,キーアップ,7539709214580801
11,8,キーダウン,7539709217032185
11,8,キーアップ,7539709217997515
12,9,キーダウン,7539709226737811
12,9,キーアップ,7539709227904047
12,6,キーダウン,7539709230524428
12,6,キーアップ,7539709231887857
12,0,キーダウン,7539709233948945
